pay_category_name,category,sub_category
Permanent - 4x4 PH on RDO Night Shift / 3113,Penalty rate,Public Holiday
Tutor Other,Penalty rate,Penalty rate
Musicians Personal Leave Taken,Leave,Leave
Annual Leave Loading Backpay,Leave,Leave
Hourly Pay - ACCOUNTANCY MANAGER,Base rate,Base rate
Back Pay - Permanent - Afternoon shift - AG2022/784,Others,Backpay
Pest control allow (Supervisor),Base rate,Base rate
Admin Saturday,Penalty rate,Saturday
On Call - Weekend,Penalty rate,Weekend
Bonus - End of Campaign,Bonuses,Bonus
Travel ATO reasonable allowance,Allowances,Allowances
PH Worked + Penalty,Penalty rate,Penalty rate
DW Leave Without Pay,Leave,Leave
Long Service Leave payout on termination,Leave,Leave
Part Time LV2 Public Holiday,Penalty rate,Public Holiday
Customer Service Bonus,Bonuses,Bonus
Overtime Productivity Allowance,Penalty rate,Penalty rate
Casual Ordinary Hours (Workshop - Rigger),Base rate,Base rate
Causal Night,Penalty rate,Evening/Night
Casual - Weekend Overnight 175% - ECC / HC Vet,Penalty rate,Weekend
Hourly Pay - WAGO,Base rate,Base rate
Award Casual Lvl 4.1 Meeting,Base rate,Base rate
Bonus – relating entirely to time worked outside ordinary hours,Bonuses,Bonus
Bonus Off/Pre Market Property,Bonuses,Bonus
Additional Meals,Penalty rate,Penalty rate
Permanent Ordinary (Registered Nurse),Base rate,Base rate
Casual - RDO Deduction - Shiftwork,Base rate,Base rate
Casual Per Ride Rate,Base rate,Base rate
Ordinary Pay,Base rate,Base rate
Back Pay - Casual - Public Holiday - AG2022/784,Penalty rate,Public Holiday
ARDO Accrual,Base rate,Base rate
Public Holiday Worked - Nurse,Penalty rate,Public Holiday
Holiday Pay 612,Penalty rate,Public Holiday
-- Hospitality - HD L5 OT x1.594,Penalty rate,Penalty rate
Overtime x 1.25,Penalty rate,Penalty rate
Weekday Assistance With Self-Care EVENING Permenant PartTime,Penalty rate,Evening/Night
MV Allowance Taxable,Allowances,Allowances
Special Duties Allowance (18.2 Pilots/Aircrew EA),Allowances,Allowances
Casual - Afternoon Shift (EA),Base rate,Base rate
Board Members,Base rate,Base rate
Site Allowance - c4110 - OT,Allowances,Allowances
Travel Tom Price Flight,Allowances,Travel
Jul22 Group Booking PublicHolSleepoverActive,Leave,Leave
-- Beauty - Base Hourly,Base rate,Base rate
LRV Trainee Sun,Base rate,Base rate
Ordinary Hours BEPT,Base rate,Base rate
Early Morning Shift - MW,Penalty rate,Penalty rate
Permanent - Estimating,Base rate,Base rate
1 Tool Allowance,Allowances,Allowances
Permanent Public Holiday worked,Penalty rate,Public Holiday
Double time _Security,Penalty rate,Penalty rate
Government Funded Parental Leave Payment,Leave,Leave
SO-Level-5.2 Casual,Base rate,Base rate
4 - 2 Sunday (ex sup),Penalty rate,Sunday
Excess of Max. Super Theshold paid as Salary,Penalty rate,Penalty rate
On Call Allowance - Weekends and Public Holidays - AG2021/6148,Allowances,Allowances
Higher duties 9.1,Allowances,Allowances
CPA - CAS - 1-July-2022 - M-F Minimum Shift Engagement,Base rate,Base rate
OT Clearing - End of Shift,Penalty rate,Penalty rate
O/T Sunday DSW 2.3 (PT),Penalty rate,Sunday
Mileage - ACS,Allowances,Travel
GRIA - CAS - 1-July-2022 - Sun Weekly OT,Penalty rate,Sunday
Normal Time (SAHA),Base rate,Base rate
zz Casual - Sunday 1 Client *,Penalty rate,Sunday
0 - Weekday (6am - 10pm),Base rate,Base rate
Normal hours,Base rate,Base rate
Hourly Rate 9,Base rate,Base rate
TIL Banked,Base rate,Base rate
Ordinary Casual 20 yrs- Lv2,Base rate,Base rate
TEST WEIGHTS OT1,Penalty rate,Penalty rate
Casual - Night Work (WFS),Penalty rate,Evening/Night
Special Sunday Rate,Penalty rate,Sunday
Permanent Ordinary Hours - Doctors,Base rate,Base rate
On Call Allowance Fri - Sun & Pub Hol,Penalty rate,Sunday
Site allowance - Victoria - Greater than $100 million and up to $250 million,Allowances,Allowances
Permanent - Overtime T1.4,Penalty rate,Penalty rate
Workers Comp Lve No SG,Others,WorkCover
Zero Hours Worked,Base rate,Base rate
Chair of Board Committee,Base rate,Base rate
NursesA - CAS - SW - 1-July-2019 - M-F Minimum Shift Engagement,Base rate,Base rate
Casual - Night Shift -1.4x,Penalty rate,Evening/Night
Electricians License allowance,Allowances,Allowances
Cabler Allowance Open,Allowances,Allowances
ChildrenA - CAS - M-Sat Daily OT - After 2 hours,Penalty rate,Saturday
Permanent FIA - Overtime - Time & Half,Penalty rate,Penalty rate
Covid Risk Allowance - Afternoon,Allowances,Allowances
Makeup Pay-OTE,Penalty rate,Penalty rate
Permanent - Working on a RDO (T),Base rate,Base rate
HIGA - PT - 1-February-2021 - M-F Weekly OT - After 2 Hours,Penalty rate,Penalty rate
A-Casual 14Y Public Holiday,Penalty rate,Public Holiday
OT X 1.5,Penalty rate,Penalty rate
Travel Allowance - per km Office,Allowances,Allowances
Casual - Non-Rotating Night Shift  TA,Penalty rate,Penalty rate
Adhoc Commission,Bonuses,Commission
HPSSA - CAS - Other sectors - M-F OT - Before 6am - First 2 hours,Penalty rate,Penalty rate
Permanent - Single Afternoon Shift (Glycol/Fish) (Additional),Penalty rate,Penalty rate
Casual - O/T 1.5,Penalty rate,Penalty rate
Permanent Leave with Pay - Ordinary Hours,Leave,Leave
Additional Live in Shift - Weekday,Penalty rate,Penalty rate
EXTRA INSTRUMENT Cas. Assistant Principal,Penalty rate,Penalty rate
TAC Stat Holiday Pay 614,Penalty rate,Public Holiday
DNU_ETP - Gratuity,Others,Severance
Comdain 4:00pm - 8:00pm Weekdays,Base rate,Base rate
Hourly Pay (exceeding 38 hours),Base rate,Base rate
DOVER OPERATIVE,Penalty rate,Penalty rate
Tool Allowance (per week),Allowances,Allowances
Nurse - Permanent - Ordinary Hours,Base rate,Base rate
Casual HCE 24-hour Care Shift L4.2 WD,Base rate,Base rate
Apprentice Ordinary Time Earnings,Base rate,Base rate
Casual 18yrs Weekdays,Base rate,Base rate
Driving - Grade 4 (Long Distance) Hourly (Regular Canberra Run),Base rate,Base rate
Level 4 FT/PT 9pm - 7am Kitchen hrs,Base rate,Base rate
Accomodation allowance,Allowances,Allowances
Casual - OT  - Vets,Penalty rate,Penalty rate
CCCA - FT - 1-July-2022 - PH Weekly OT,Penalty rate,Penalty rate
Fares allowance.,Allowances,Allowances
Salary - Overtime 20% Surcharge,Penalty rate,Penalty rate
Permanent - Overtime - shiftworkers - first 3 hours,Penalty rate,Penalty rate
EBA Night Shift,Penalty rate,Evening/Night
Motor Vehicle Allowance - per km,Allowances,Allowances
KM's Allowance - Up to ATO Limit,Allowances,Allowances
ANNUAL LEAVE NEGATIVE DEDUCTION,Leave,Leave
Late night - Sunday - MA000091,Penalty rate,Sunday
Travel cost 2,Allowances,Travel
Health & Wellbeing - locum hours,Leave,Leave
Allowances - Transport,Allowances,Allowances
Workcover - not working  - 95%,Others,WorkCover
Group A - Travel Driving - ADE to Mildura,Allowances,Travel
Ordinary - Sunday (x2) ,Penalty rate,Sunday
Study Leave NVS - Resident Externship and TRD Leave,Leave,Leave
01 HIGA CAS L3 F&B [WEEKDAY] [0000-0700][][],Base rate,Base rate
SCHADS - CAS - Home care - Sun Minimum Engagement,Penalty rate,Sunday
AERA - FT - Exhibition - 1-November-2021 - M-Sun Delayed Meal Break,Penalty rate,Penalty rate
Admin - Holiday Loading,Penalty rate,Public Holiday
TIL accrual x1 for rule set,Base rate,Base rate
Casual - Saturday > 2 hours x 225%,Penalty rate,Saturday
FT/PT - Overtime x 1.5,Penalty rate,Penalty rate
GRIA - FT - 1-September-2021 - Late Trading (>9pm) - M-Sat 12am-7am - After 3 Hours,Penalty rate,Penalty rate
Shift loading 15%,Base rate,Base rate
Salary Per Month,Base rate,Base rate
Permanent - Less than 8 hours break between shifts (QLD),Base rate,Base rate
Do Not Use - Sunday 1.4 Casuals,Unclassified,Unclassified
-- Manuf - 9.18193.40 Apprentice -,Base rate,Base rate
Public Holiday-not worked,Penalty rate,Penalty rate
Atco Retention Incentive Payment Accrual,Bonuses,Commission
Casual - Monday to Friday - Outside Span of Hours - Other than disability services - AG2021/6148,Penalty rate,Penalty rate
Perm Supervisor Public Holiday,Penalty rate,Public Holiday
Hourly Overtime Basic,Penalty rate,Penalty rate
KLM reimbursement,Others,Reimbursement
Annual - Overtime - Monday to Saturday - first 2 hours,Penalty rate,Penalty rate
Housekeeping - Ordinary,Base rate,Base rate
PV - Casual - Sunday - not two driver operation,Penalty rate,Sunday
Worker's Compensation Top Up - Work is Performed,Others,WorkCover
Casual Public Holiday Pay,Penalty rate,Public Holiday
allowance - award transport payments,Allowances,Allowances
HEA - Casual - Broken Shift (outside the spread of 9 hours),Base rate,Base rate
Apprentice Saturday - First 2 hours,Penalty rate,Saturday
Weekend Hours (200%),Penalty rate,Weekend
Casual - Overtime x 125% (PFS),Penalty rate,Penalty rate
Birthday Leave - THE ICONIC 10 Years,Leave,Leave
Restaurant - Ord x1.5,Penalty rate,Penalty rate
Big V game day wages,Base rate,Base rate
CASUAL LEVEL 2: OVERTIME (FIRST 3 HOURS),Penalty rate,Penalty rate
Sleepover - Weekday,Penalty rate,Penalty rate
CONTRACT FEE,Base rate,Base rate
RIA - (Not Automated) - R.5 - Substitute Allowance - Introductory and Level 1 employees,Allowances,Allowances
Permanent - W.ENDS,Base rate,Base rate
Ordinary Hours - Office Support,Base rate,Base rate
Permanent - Weekday Penalty Rate,Penalty rate,Penalty rate
MOBILE ALLOWANCE QLD,Allowances,Allowances
HPSSA - CAS - 1-July-2022 - PH Minimum Shift Engagement,Penalty rate,Public Holiday
O/T Meal Allow Exempt,Penalty rate,Penalty rate
Travel Time <7.6 (DNU),Allowances,Travel
First Aid Allowance (EBA),Allowances,Allowances
After hours On Call Allowance,Allowances,Allowances
Overtime (after 2 hours) - Clerk,Penalty rate,Penalty rate
Casual Support Worker - Sun,Penalty rate,Sunday
Director - Casual Afternoon Shift,Base rate,Base rate
SCHADS - CAS - Social & Comm - 1-July-2020 - PH Minimum Engagement,Penalty rate,Public Holiday
#-Afternoon Shift (Non Casual),Base rate,Base rate
SCHADS - CAS - SW - Home Care - 1-July-2021 - Sun Daily OT,Penalty rate,Sunday
Casual Laundry - Cooks only,Base rate,Base rate
Time In Lieu OT Clearing,Base rate,Base rate
Lump Sum Leave Payments,Leave,Leave
Salary - Public Holiday (RDP),Penalty rate,Public Holiday
Salary PH not worked,Penalty rate,Penalty rate
TT_PH In Lieu,Base rate,Base rate
SCHADS - PT - SW - Disability services or Home care - M-F Ordinary,Base rate,Base rate
Permanent Night Rate - Oz Airports,Penalty rate,Evening/Night
Ordinary Hours - OT 1.5,Penalty rate,Penalty rate
Day Rate Categorie 2,Base rate,Base rate
Vehicle Allowance (N-T),Allowances,Allowances
ACT (AU) - North By North Vest - Contact Centre Inbound - xxx - North By North Vest - 24122022 (Overtime),Base rate,Base rate
SLEEPOVER ALLOWANCE,Allowances,Allowances
Unused annual leave payout,Leave,Leave
Level 1- Fast Food Award 17yrs,Base rate,Base rate
OT 150,Penalty rate,Penalty rate
A/H Saturday,Penalty rate,Saturday
Expat Allowance,Allowances,Allowances
PCA Level 3-4 MEDS AM,Base rate,Base rate
Probatory - Casual Ordinary Hours,Base rate,Base rate
8a Travel,Allowances,Travel
Kyle Mackie - Salary,Base rate,Base rate
Workers compensation excess payments,Penalty rate,Penalty rate
MA38 FT L6 NSNC 2.0,Base rate,Base rate
V1 Private Vehicle Allowance,Allowances,Allowances
Permanent - Overtime 10%,Penalty rate,Penalty rate
Casual EN Ordinary,Base rate,Base rate
Annual Leave No Pay,Leave,Leave
meal fixed $20,Base rate,Base rate
Saturday- Level 2.2,Penalty rate,Saturday
Annualised Salary - Annual Leave,Leave,Leave
Car Allowance 5500,Allowances,Allowances
Permanent - Public Holiday (not worked) (FB),Penalty rate,Penalty rate
cash advance,Base rate,Base rate
Allowance - Night Shift 30%,Allowances,Allowances
Overtime (more than an average of 38 hours per week) - first 3 hours - shiftworkers - MA000075,Penalty rate,Penalty rate
Site Manager Normal Hours xPH  Worked,Penalty rate,Public Holiday
Apprentice Chef - Sun,Penalty rate,Sunday
-- Fast Food - OT x1.0,Penalty rate,Penalty rate
NDCH Mandatory Training,Base rate,Base rate
Car Allowance 5900,Allowances,Allowances
T4-CAS-CW1-LAB-OT-200%,Penalty rate,Penalty rate
CAS 18 WKEND [SUN][ALLDAY][][],Penalty rate,Weekend
Staff Claims,Allowances,Allowances
Permanent - Broken Shift x 1.5,Penalty rate,Penalty rate
Introductory Level Weekends,Penalty rate,Weekend
Higher Duties Level 2 to 5 Ordinary Hours x 2,Allowances,Allowances
Clerks level 2.1 Public Holiday Shiftworker,Penalty rate,Public Holiday
J2208 CW1 Overtime GC Hwy & Norfolk Ave,Penalty rate,Penalty rate
Casual Unpaid Leave,Leave,Leave
SCHADS - FT - SW - Disability - 1-July-2019 - PH,Base rate,Base rate
TC Casual St,Base rate,Base rate
Level 2 - P/F Time 2.4 Sunday,Penalty rate,Sunday
Casual - Evening Mon to Fri after 6pm,Penalty rate,Evening/Night
Motor Vehicle Allowance - J Schaeche,Allowances,Allowances
Casual - Night Shift Overtime - first 3 hours - day worker or continuous shiftworker,Penalty rate,Penalty rate
Overtime* - x 2,Penalty rate,Penalty rate
Full Time/Part Time Level 8 Public Holiday,Penalty rate,Public Holiday
Raining Allowance VC - Cas,Allowances,Allowances
Jul21 L5 SleepoverSat,Penalty rate,Penalty rate
Casual - Evening Shift 8 PM - 12 AM,Penalty rate,Evening/Night
38028 RTDFT SUN L2 [SUN] [ALLDAY][][RTDL2],Penalty rate,Sunday
PIA 18YO CAS LVL1 SUN,Base rate,Base rate
Back Pay Ordinary Hours - Risk and Compliance,Others,Backpay
Commission w1,Bonuses,Commission
-- A Higgins Base Rate Modifier,Base rate,Base rate
CE Permanent - Overtime x 50%,Penalty rate,Penalty rate
Travel Allowance new,Allowances,Allowances
NZ - Holiday Pay (SRG NZ - Contact Centre Support 2022),Penalty rate,Public Holiday
Casual Public Holiday Extra hours CLQ FR,Penalty rate,Penalty rate
Night - Permanent 100%,Penalty rate,Evening/Night
Public Holiday Worked + First Aid,Penalty rate,Public Holiday
Fulltime Public Holiday,Penalty rate,Public Holiday
00 HIGA CAS L1 F&B [WEEKDAY][0700-1900][][],Base rate,Base rate
Adjusted Hours,Base rate,Base rate
Expat allowance,Allowances,Allowances
1. Monday - Friday (Casual),Base rate,Base rate
Emergency Duties OT 2.0,Penalty rate,Penalty rate
Test Reimbursement,Others,Reimbursement
ChildrenA - PT - 1-July-2019 - Sun Minimum Shift Engagement,Penalty rate,Sunday
Reimbursed expenses,Others,Reimbursement
TIL Leave Cash Out,Leave,Leave
HC Level 3.2C,Base rate,Base rate
Company - Suspension Leave,Leave,Leave
Permanent - Overtime - Sunday NVS,Penalty rate,Penalty rate
Fuel Allowance 2,Allowances,Allowances
Ordinary - Saturday 1.34 with Leave,Penalty rate,Saturday
SCHADS Public Holiday Casual,Penalty rate,Public Holiday
Salary Admin - National Overhead,Base rate,Base rate
Directors Allowance Level 1,Allowances,Allowances
Permanent - Overtime - Weekday @ 1.25,Penalty rate,Penalty rate
Travel Allowance (Supervisor - Dayshift),Allowances,Allowances
Site Allowance 3.30,Allowances,Allowances
Higher Duties L5 - Ord x1.4,Allowances,Allowances
5. Double Time & Half,Penalty rate,Penalty rate
Annualised Salary - Public Holiday Worked,Penalty rate,Public Holiday
English Martyrs' Catholic Primary School,Leave,Leave
Tool Allowance (PPC Employees Only),Allowances,Allowances
public holiday without working,Penalty rate,Public Holiday
Discretionary 50% Sick Pay,Leave,Leave
LPA 2 Mon - Sat,Penalty rate,Saturday
Casual - Sunday - Boarding Staff,Penalty rate,Sunday
Worker's Comp Hours,Others,WorkCover
Permanent - Sunday - between 7am-7pm CCCA,Penalty rate,Sunday
Food and Beverage Attendant Grade 1 - Sunday,Penalty rate,Sunday
Short Fall/Back Payment,Others,Backpay
Partner Wkdy,Leave,Leave
Travel Allowance A,Allowances,Allowances
L4PP1 Saturday,Penalty rate,Saturday
jess saturday,Penalty rate,Saturday
Salary Tim Sevenson,Base rate,Base rate
Casual Ordinary Hours (Full Shift),Base rate,Base rate
Casual - Processing and Laboratory - After 10.85 hours - AG2022/784,Base rate,Base rate
Workshop Ordinary Hours,Base rate,Base rate
Long Distance Public Holiday Good Friday and Christmas Day,Penalty rate,Public Holiday
KM Allowance Over ATO limit,Allowances,Allowances
Casual Metro EN PM,Base rate,Base rate
Casual - Overtime - Public Holiday PCS,Penalty rate,Penalty rate
Super Retail Group - Admin Office - VIC (AU),Base rate,Base rate
Private Coaching Hours,Base rate,Base rate
Apprentice - 3rd Year: Base hourly,Base rate,Base rate
Cover supervisior,Penalty rate,Penalty rate
Nursing CA M-F Loading (1.25x),Base rate,Base rate
Permanent Saturday Overtime after 3 hrs,Penalty rate,Penalty rate
Ordinary Guard Hours - Static and Crowd Control,Base rate,Base rate
Permanent - Non-consecutive shiftwork - Weekday - First two hours,Base rate,Base rate
-- Manuf - 9.18193.38 Apprentice -,Base rate,Base rate
Travel Allowance (Extra List),Allowances,Allowances
Overtime (on day off 1st 2 hours),Penalty rate,Penalty rate
Site Allowance $4.30,Allowances,Allowances
-- Fast Food - Casual Base,Base rate,Base rate
Crocs MP - Permanent Grade 2 - NE - 20yrs & over,Base rate,Base rate
SCHADS - CAS - SW - Home Care - 1-July-2020 - PH Weekly OT,Penalty rate,Penalty rate
Crew Extra Shift Night or Weekend - CEXTNWE,Penalty rate,Weekend
Public Holiday $59.73,Penalty rate,Public Holiday
PAAL Reimbursement,Others,Reimbursement
Trip - CC (Volvo) (Sun/PH),Base rate,Base rate
Casual Saturday First 3 Hours,Penalty rate,Saturday
Back Pay Current Yr,Others,Backpay
ASA Staffing – Disability Weekday Evening,Penalty rate,Evening/Night
Back Pay Ordinary Hours - Experience and Culture,Others,Backpay
Manufacturing -- Overtime 1.1 Afternoon,Penalty rate,Penalty rate
2.3 Saturday Rate Part/Full Time,Penalty rate,Saturday
Level 2b Award Public Holiday Hours,Penalty rate,Public Holiday
08 HIGA CAS L4 COOK G3 OT 12 [WEEKDAY][12~24][][],Penalty rate,Penalty rate
Tool allowance (Admin) - Non-taxable,Allowances,Allowances
Permanent - Public Holiday Penalty (x2.5),Penalty rate,Penalty rate
Casual - Public Holiday Overnight 250% - ECC / HC Vet,Penalty rate,Public Holiday
Meal Allowance Untaxed,Allowances,Allowances
Saturday 1.25,Penalty rate,Saturday
Permanent - Crib Break x 2,Base rate,Base rate
Casual Regional ND EN,Base rate,Base rate
Afternoon/Night Loading,Penalty rate,Evening/Night
Duvet Days,Leave,Leave
Smeaton Day Worker - Permanent Public Holiday not worked,Leave,Leave
NEL Allowance (A),Allowances,Allowances
Military Leave Taken,Leave,Leave
Salary- Public Holiday,Penalty rate,Public Holiday
CF Casual Saturday Booked Work,Penalty rate,Saturday
Wine - L2 - Casual OT1.5,Penalty rate,Penalty rate
App 1st Year - Base Hourly,Base rate,Base rate
Partner Bonus: PP,Bonuses,Bonus
BS Motel Reception Allowance,Allowances,Allowances
Back Pay Ord,Others,Backpay
Full Time/Part Time Level 8 Sunday,Penalty rate,Sunday
Fitter multi-task Allowance,Allowances,Allowances
Backpay on Allowances,Allowances,Allowances
Under Payment Adjustment,Base rate,Base rate
Part-time_OTE,Penalty rate,Penalty rate
Test 1 H - level 2 pay point 2,Base rate,Base rate
Bonus STI Cash Incentive,Bonuses,Bonus
Disability allowance – construction work involving noise and dust to a limited degree due to alterations and or/the removal or installation of plant and machinery and a marked reduction in work space (per hour) [MA000048],Allowances,Allowances
Public Holiday After 2 hours,Penalty rate,Public Holiday
Permanent Higher Duties - Sunday (RTD),Penalty rate,Sunday
WCIG Public Holiday x2.5,Penalty rate,Public Holiday
Unused Accrued Annual Leave Payout,Leave,Leave
Bonus no Super,Bonuses,Bonus
ANMF - Casual - Saturday,Penalty rate,Saturday
#-Sleepover Allowance,Allowances,Allowances
Griffin Ballingall (weekday evening) - Matt Grady,Penalty rate,Evening/Night
First Aid Allowance ($0.47/shift to max $18.01),Allowances,Allowances
Permanent Manager Sunday,Penalty rate,Sunday
Salary - No Pension,Base rate,Base rate
Shift Allowance- x 1.15,Allowances,Allowances
Permanent - Saturday (1.25x),Penalty rate,Saturday
Additional Hrs worked YOT1,Penalty rate,Penalty rate
CENTACARE TRAINING MAPA,Base rate,Base rate
RN Day Shift Mon to Fri - Casual,Base rate,Base rate
"Category C Licence Holder allowance - Adult - Maintenance and engineering stream, aircraft worker 3 (per hour) [MA000048]",Allowances,Allowances
Blue Space Top up - Parental Leave,Leave,Leave
Manager Permanent 10PM - 12Am,Penalty rate,Penalty rate
WC Excess,Penalty rate,Penalty rate
PVTA - FT - NTDO - 1-July-2019 - M-F Before 6am,Base rate,Base rate
Industry allowance - residential building and construction,Allowances,Allowances
Watercare Living Allowance,Allowances,Allowances
CCCA - PT - 1-July-2022 - M-Sat Weekly OT - After 3 Hours,Penalty rate,Saturday
Casual - Overtime - Mon to Sat After 3hrs,Penalty rate,Penalty rate
Casual Overtime x 125%,Penalty rate,Penalty rate
CleanA - (Not Automated) - Vehicle Allowance - Motor Vehicle (Up To ATO Limit),Allowances,Allowances
Additional PCA Casual - 30min Shift Sunday,Penalty rate,Sunday
Retail - Annual Leave,Leave,Leave
Maintenance Administration Assistant (Casual) - Ordinary Hours,Base rate,Base rate
Stand Down Pay (RDO),Others,Severance
Casual Ordinary Hours - Mon-Fri,Base rate,Base rate
RDO Call Out >48hrs (200%),Base rate,Base rate
Permanent - 20% Afternoon Shift,Base rate,Base rate
Chef - Sunday,Penalty rate,Sunday
Area Daily $27.50,Base rate,Base rate
PVTA - CAS - NTDO - 1-July-2021 - Sun Minimum Shift Engagement,Penalty rate,Sunday
OT 1st 3hours,Penalty rate,Penalty rate
Administration Assistant ,Base rate,Base rate
Mileage Allowance - 78 cents,Allowances,Allowances
Level 2a Award Driver Hours + 1.5,Base rate,Base rate
Contingent Hourly - Sunday Hours,Penalty rate,Sunday
Casual Trasfer From Friarun,Base rate,Base rate
Leading Hand Annual Leave,Leave,Leave
Time in Lieu - Cash Out,Base rate,Base rate
Allowance - LAFHA,Allowances,Allowances
B&C Permanent - Early Afternoon Shift,Penalty rate,Penalty rate
SCHADS - FT - Disability - 1-July-2019 - PH Daily OT,Penalty rate,Penalty rate
-- Manuf - 9.19203.17 Apprentice -,Base rate,Base rate
Casual Const Overtime 2x,Penalty rate,Penalty rate
Restaurant - Ordinary,Base rate,Base rate
QLD (AU) - Contact Centre Inbound - 04072022 (Overtime),Penalty rate,Penalty rate
Casual - No Accruals,Base rate,Base rate
SACS Sleepover Allowance,Allowances,Allowances
Overtime -Storeman,Penalty rate,Penalty rate
RN O/T After 2.3 (C),Penalty rate,Penalty rate
GRIA - CAS - 1-July-2020 - Late Trading (>9pm) - M-Sat Daily OT - First 3 Hours,Penalty rate,Saturday
Higher Duties L2 - Ord x1.817,Allowances,Allowances
App1 Noyr12 Penalty1,Penalty rate,Penalty rate
EA Leave Loading - DIRECT,Leave,Leave
Commision/Bonus,Bonuses,Bonus
Permanent - Sunday Test,Penalty rate,Sunday
Travel Allowance - Start Finish Jobsite -  No Offer Transport,Allowances,Allowances
DO NOT USE Annual Leave Taken,Unclassified,Unclassified
Casual - On Call Allowance HP Sun-PH,Allowances,Allowances
Meal Allowance - Not Taxable,Allowances,Allowances
Bonus (don't Use),Bonuses,Bonus
Site Rate - Week Ends,Penalty rate,Weekend
Saturday-Elisa,Penalty rate,Saturday
Ex-Gratia Redundancy Payment,Bonuses,Bonus
FBTMA - (Not Automated) - Perm Transfer - Travel Time (Sun/PH) Allowance - Berth Incl,Allowances,Allowances
Food & Beverage Attendant - Level 2,Base rate,Base rate
On-Call Hourly,Penalty rate,Penalty rate
Permanent - PHW Overtime - MA000010,Penalty rate,Penalty rate
FBTMA - (Not Automated) - Temp Transfer - Travel Time (M-Sat) Allowance - Berth Excl,Allowances,Allowances
Casual - Saturday (Schedule C),Penalty rate,Saturday
Heavy Weight Allowance - Lime - per day - 2009,Allowances,Allowances
Annual - Overtime - Monday to Saturday - after 2 hours,Penalty rate,Penalty rate
Mobile Phone Payments,Allowances,Allowances
Un-Paid Leave,Leave,Leave
TeachersA - PT - EC - 1-July-2019 - M-F Before 6am - After 3 hours,Base rate,Base rate
Pier Supervisor,Base rate,Base rate
Wages paid on Workcover OT (weekly),Others,WorkCover
S OT,Penalty rate,Penalty rate
Rest - L4 - Casual OT1.5,Penalty rate,Penalty rate
Casual - OT x 1.5 (Mock-up Test),Penalty rate,Penalty rate
Permanent Restaurant Sunday,Penalty rate,Sunday
Permanent afternoon shift,Base rate,Base rate
CASUAL L2 +4 HOURS OT (SUNDAY),Penalty rate,Sunday
Other4,Penalty rate,Penalty rate
Time in Lieu x 1.5 overtime,Base rate,Base rate
Casual FBTM Level 2 M-F,Base rate,Base rate
Unused Long Service Leave payment for Termination,Leave,Leave
Casual Hours - Overtime Rate - mon-fri,Penalty rate,Penalty rate
LABOUR HIRE - TWFS - High Reach NIGHT @ T2.5,Penalty rate,Evening/Night
Ordinary Time: Time In Lieu,Base rate,Base rate
