pay_category_name,category,sub_category
Permanent - Saturday - 6am - 6pm - meat manufacturing (not retail / wholesale sales) - up to 4 hours - not shiftworkers,Penalty rate,Saturday
Part-Time - Sunday - 8am - 6pm - meat retail / wholesale sales - not shiftworkers,Penalty rate,Sunday
Overtime Meal Allowance (4+ OT hrs),Penalty rate,Penalty rate
Time in Lieu Leave Taken,Base rate,Base rate
Broken Shift Allowance (2 unpaid breaks),Allowances,Allowances
Permanent - No Meal Break Public Holiday Overtime,Penalty rate,Penalty rate
Carbon black handling allowance,Allowances,Allowances
Foreign rock allowance - handling rock phosphate to crushers and all other employees in the rock phosphate section,Allowances,Allowances
Jack bolt tensioner allowance,Allowances,Allowances
Vehicle allowance - above ATO limit,Allowances,Allowances
Wet clothing or boots allowance,Allowances,Allowances
Permanent - Night shift - non-rotating,Penalty rate,Penalty rate
Permanent - Overtime - Saturday - first 3 hours - day worker,Penalty rate,Penalty rate
Permanent - Change of residence for a transfer - travelling time (Sunday and public holidays) allowance - sleeping berth provided - not in process of buying a place of residence,Allowances,Allowances
Permanent - Overtime - Public Holiday - day workers and non-continuous shiftworkers,Penalty rate,Penalty rate
Casual - Sunday (agreement to work ordinary hours) day worker,Penalty rate,Sunday
Casual - Afternoon shift,Base rate,Base rate
Casual - Distant work travelling time (Monday to Saturday) allowance - sleeping berth provided,Allowances,Allowances
Public Holiday,Penalty rate,Public Holiday
Casual - Afternoon or night shift - Monday to Friday - less than 6 successive shifts +Annual Leave,Leave,Leave
Casual - Travelling Time (Mon-Sat) +Annual Leave,Leave,Leave
Laundry Allowance (FT) - up to ATO threshold,Allowances,Allowances
Time in lieu of notice,Base rate,Base rate
Leading hand allowance - in charge of 2-6 employees x1.5 (OT),Allowances,Allowances
Leading hand allowance - in charge of more than 20 employees,Allowances,Allowances
Wet work allowance x2.0,Allowances,Allowances
Permanent - Night shift,Penalty rate,Evening/Night
Permanent - Overtime (Public Holiday),Penalty rate,Penalty rate
Cleaning Allowance,Allowances,Allowances
Substitute Allowance,Allowances,Allowances
Casual - Saturday Overtime - After 2 hours,Penalty rate,Penalty rate
Permanent - No break Sunday,Penalty rate,Sunday
Casual Sunday,Penalty rate,Sunday
OT Clearing - Over 12 hours,Penalty rate,Penalty rate
Permanent - No Break Overtime (Thereafter),Penalty rate,Penalty rate
Permanent - Overtime worked on a Rostered Day Off,Base rate,Base rate
Vehicle Allowance - Up To ATO Limit,Allowances,Allowances
Laundry Allowance - above ATO threshold,Allowances,Allowances
Casual - Overtime x 2,Penalty rate,Penalty rate
Leave without Pay,Leave,Leave
Site Allowance Y090,Allowances,Allowances
Lump Sum A Adjustment,Base rate,Base rate
Awd PCW3 Op. Casual OT 1.5,Penalty rate,Penalty rate
Motorcycle Allowance,Allowances,Allowances
Paid Parental Leave,Leave,Leave
Personal / Carers Leave Taken,Leave,Leave
Casual - Public holiday worked,Penalty rate,Public Holiday
"Cleaner, greaser or oiler allowance - stopping or starting an engine",Allowances,Allowances
Confined spaces allowance,Allowances,Allowances
Engine driver and fireperson allowance - attending to a switchboard where the generating capacity is 350 kW or over,Allowances,Allowances
First aid allowance,Allowances,Allowances
Foreign rock allowance - mixing superphosphate,Allowances,Allowances
Manganese dioxide and other pigments allowance - more than 2 hours,Allowances,Allowances
Processing free coal dust allowance,Allowances,Allowances
Raw materials allowance - not soda ash,Allowances,Allowances
Casual Ordinary Hours (Vehicle Manufacturing),Allowances,Allowances
Casual Ordinary Hours (Vehicle Manufacturing) +Annual Leave,Leave,Leave
Permanent - Shifts other than rostered shifts - continuous shiftwork,Penalty rate,Penalty rate
Permanent - Call back - first 3 hours,Base rate,Base rate
Permanent - Ship trials at wharf - technical field,Base rate,Base rate
Permanent - Change of residence for a transfer - travelling time (Monday to Saturday) allowance - sleeping berth provided - not in process of buying a place of residence,Allowances,Allowances
Casual - Overtime - continuous shiftworker,Penalty rate,Penalty rate
Casual - Call back - after 3 hours,Base rate,Base rate
Casual - Change of residence for a transfer - travelling time (Monday to Saturday) allowance - sleeping berth not provided - in process of buying a place of residence,Allowances,Allowances
Casual - working through a meal break (afternoon or night shift),Penalty rate,Evening/Night
Casual - Afternoon/Night (Continuous Shiftworker),Penalty rate,Evening/Night
Casual - Alternating day and night shifts - non-continuous vehicle manufacturing shiftworker - night shift,Allowances,Allowances
Casual - Overtime - continuous shiftworker - after 3 hours,Penalty rate,Penalty rate
Night shift - non-continuous vehicle manufacturing shiftworker working through a meal break,Allowances,Allowances
Casual - working through a meal break +Annual Leave,Leave,Leave
Casual Sunday (Shiftworker) +Annual Leave,Penalty rate,Sunday
Height Work Allowance (up to 22nd floor),Allowances,Allowances
Toilet Cleaning Allowance,Allowances,Allowances
FT - Public Holiday Overtime,Penalty rate,Penalty rate
PT - Shiftwork,Base rate,Base rate
Permanent - Recall (when on call) - less than 12hrs after start of last normal shift,Penalty rate,Penalty rate
Roster Day Off Taken,Leave,Leave
Hot places allowance - in excess of 54°C,Allowances,Allowances
Meat digesters and oil tanks allowance - repair work - less than half a day or shift,Allowances,Allowances
Second hand work allowance,Allowances,Allowances
Ship repairs allowance - all other employees,Allowances,Allowances
Large Structural Alterations Allowance,Allowances,Allowances
Boiler House Allowance,Allowances,Allowances
Alternating day and afternoon shifts - non-continuous vehicle manufacturing shiftworker - afternoon shift,Allowances,Allowances
Travelling Time (Mon-Sat),Allowances,Travel
Overtime Public Holiday (continuous shiftworker),Penalty rate,Penalty rate
Casual - Night shift - non-continuous vehicle manufacturing shiftworker +Annual Leave,Leave,Leave
Casual - Overtime Mon-Sat (after 3 hours) +Annual Leave,Penalty rate,Penalty rate
Site Allowance Y089,Allowances,Allowances
FBTMA - (Not Automated) - Cold Places Allowance,Allowances,Allowances
FBTMA - (Not Automated) - Vehicle allowance (Above ATO Limit),Allowances,Allowances
FBTMA - (Not Automated) - First aid allowance,Allowances,Allowances
FBTMA - PT - PH MSE,Penalty rate,Public Holiday
FBTMA - CAS - PH WKL OT,Penalty rate,Penalty rate
FBTMA - CAS - M-F Before 6a - < 3 hours,Base rate,Base rate
CPSA - FT - M-F Ordinary,Base rate,Base rate
CPSA - FT - Sat 12:30pm-12am - After 2 hours,Penalty rate,Penalty rate
CPSA - FT - Less than 10hr break between shifts,Base rate,Base rate
CPSA - FT - PH Daily OT,Penalty rate,Penalty rate
CPSA - PT - M-F 12am-7am - After 2 hours,Penalty rate,Penalty rate
MiscA - PT - M-Sun Daily OT - First 3 hours,Penalty rate,Sunday
MiscA - FT - PH Weekly OT,Penalty rate,Penalty rate
CPSA - CAS - M-F 7pm-12am - First 2 hours,Penalty rate,Penalty rate
MiscA - (Not Automated) - Leading Hand Allowance - In Charge of 11-20 Employees,Allowances,Allowances
MiscA - (Not Automated) - Higher Duties,Allowances,Allowances
MiscA - FT - 1-November-2020 - M-Sun Daily OT - First 3 Hours,Penalty rate,Sunday
FBTMA – CAS 1-November-2020- M-F Minimum Shift Engagement,Base rate,Base rate
FBTMA - FT - 1-November-2020 - Sat Minimum Shift Engagement,Penalty rate,Saturday
CPSA - FT - Covid-19 - Sat 12am-7am - First 2 hours,Penalty rate,Penalty rate
CPSA - FT - Covid-19 - PH Minimum Shift Engagement,Penalty rate,Public Holiday
MiscA - PT - 1-November-2020 - Sat,Penalty rate,Saturday
CPSA - PT - Covid-19 - Sat 12:30pm-12am - After 2 hours,Penalty rate,Penalty rate
FBTMA - FT - 1-July-2021 - M-F Daily OT - After 3 Hours,Penalty rate,Penalty rate
FBTMA - FT - 1-July-2021 - Sun OT,Penalty rate,Sunday
FBTMA - PT - 1-July-2021 - PH Weekly OT,Penalty rate,Penalty rate
CPSA - CAS - Covid-19 - PH Weekly OT,Penalty rate,Penalty rate
CPSA - CAS - Covid-19 - M-F After 10pm - First 2 hours,Penalty rate,Penalty rate
CPSA - CAS - Covid-19 - Sat,Penalty rate,Saturday
CPSA - PT - 1-July-2021 - PH Daily OT,Penalty rate,Penalty rate
PPA - CAS - 1-July-2021 - M-Sat Daily OT - After 3 Hours,Penalty rate,Saturday
PPA - CAS - 1-July-2021 - Sat,Penalty rate,Saturday
PPA - (Not Automated) - Cold Work Allowance Less Than -23.3c,Allowances,Allowances
CPSA - CAS - PH Daily OT,Penalty rate,Penalty rate
CPSA - CAS - Weekly OT M-Sat - After 2 hours,Penalty rate,Saturday
CPSA - CAS - Sat Minimum Shift Engagement,Penalty rate,Saturday
CPSA - FT - 1-July-2021 - M-F Daily OT - After 2 Hours,Penalty rate,Penalty rate
CPSA - FT - 1-July-2021 - Sat 12am-7am - First 2 Hours,Penalty rate,Penalty rate
FBTMA - CAS - 1-July-2022 - Sat OT - First 3 Hours,Penalty rate,Saturday
CPSA - FT - 1-July-2022 - PH Weekly OT,Penalty rate,Penalty rate
FBTMA - PT - 1-July-2022 - M-F After 6pm - First 3 Hours,Base rate,Base rate
FBTMA - PT - 1-July-2022 - Sun OT,Penalty rate,Sunday
WMA - PT - 1-July-2022 - M-F Minimum Shift Engagement,Base rate,Base rate
WMA - JR - PT - 1-July-2022 - PH Minimum Shift Engagement,Penalty rate,Public Holiday
CPSA - PT - 1-July-2022 - PH Daily OT,Penalty rate,Penalty rate
CPSA - CAS - 1-July-2022 - Delayed Meal Break,Penalty rate,Penalty rate
MiscA - FT - 1-July-2022 - M-Sun Daily OT - After 3 Hours,Penalty rate,Sunday
WMA - CAS - 1-July-2022 - Sun Weekly OT,Penalty rate,Sunday
Permanent - Overtime (x1.5),Penalty rate,Penalty rate
Foundry allowance,Allowances,Allowances
Permanent - Ship trials in harbour or at sea - technical field,Base rate,Base rate
Sunday - Ordinary Hours,Penalty rate,Sunday
Casual - Ship trials in harbour or at sea - technical field +Annual Leave,Leave,Leave
Casual Saturday (Shiftworker) +Annual Leave,Penalty rate,Saturday
"Tool allowance - carpenter, joiner and shipwright/boatbuilder",Allowances,Allowances
Supervisor/Trainer/Coordinator—Technical Allowance,Allowances,Allowances
Permanent - Sunday (agreement to work ordinary hours) day worker,Penalty rate,Sunday
Permanent - Overtime - Saturday - after 3 hours - day worker,Penalty rate,Penalty rate
Permanent - Call back - after 3 hours,Base rate,Base rate
Casual - Change of residence for a transfer - travelling time (Sunday and public holidays) allowance - sleeping berth not provided - in process of buying a place of residence,Allowances,Allowances
Afternoon or night shift - less than 5 successive shifts,Penalty rate,Evening/Night
Overtime Mon-Sat (after 3 hours),Penalty rate,Penalty rate
Additional Hours,Penalty rate,Penalty rate
Mon - Sat Overtime (First 3 hrs),Penalty rate,Penalty rate
Permanent Shiftworker Ordinary Hours - no minimum break between shifts,Base rate,Base rate
*Permanent Shiftworker Overtime - no minimum break between shifts,Penalty rate,Penalty rate
Public Holiday (Shiftworker no minimum break),Penalty rate,Public Holiday
Permanent Shiftworker - Overtime - Sunday (no minimum break),Penalty rate,Penalty rate
Permanent Shiftworker Ordinary Hours - Baking - no minimum break between shifts,Base rate,Base rate
Permanent - Weekday Evening (no minimum break),Penalty rate,Evening/Night
Vehicle allowance - exceeding ATO limit,Allowances,Allowances
Casual - Afternoon Shift,Base rate,Base rate
Permanent - Overtime (x2),Penalty rate,Penalty rate
Permanent - Early Morning Shift,Penalty rate,Penalty rate
Accrued Day Off Taken,Leave,Leave
Penalty Clearing - Over 18 hours,Penalty rate,Penalty rate
Casual - Overtime - Roster day off,Penalty rate,Penalty rate
Family and Domestic Violence Leave,Leave,Leave
Permanent - Riding apparel allowance,Allowances,Allowances
Permanent - Public Holiday Not Worked,Leave,Leave
Permanent - 24 Hour Care,Base rate,Base rate
Family and Domestic Violence Leave Taken,Leave,Leave
Vehicle allowance - Up to ATO limit,Allowances,Allowances
Forklift Driver (All Purpose Allowance),Allowances,Allowances
Casual - Overtime - Saturday,Penalty rate,Penalty rate
Supervisory Allowance - up to 5 employees (Airport Catering),Allowances,Allowances
Saturday Hours 20yo,Penalty rate,Saturday
<16yo Public Holiday Rate,Penalty rate,Public Holiday
Task Allowance 4,Allowances,Allowances
Public Holiday Overtime,Penalty rate,Penalty rate
Permanent - Early Morning Shift (no minimum break),Penalty rate,Penalty rate
Salaried Non - Award (Hourly),Base rate,Base rate
Dangerous goods allowance - packaged goods,Allowances,Allowances
Living away from home travel time allowance,Allowances,Allowances
Permanent - Per km driving rate,Allowances,Allowances
Permanent - Loading or unloading,Base rate,Base rate
Casual - Public holiday - Good Friday or Christmas Day,Penalty rate,Public Holiday
Casual - On-call allowance,Allowances,Allowances
Permanent - Public holiday per hour,Penalty rate,Public Holiday
Casual - Public holiday per hour,Penalty rate,Public Holiday
Artificial fertilizers and chemicals allowance - general duties,Allowances,Allowances
Vehicle allowance - up to ATO limit,Allowances,Allowances
Permanent -  Distant work travelling time (Sunday and public holidays) allowance - sleeping berth provided,Allowances,Allowances
Casual - Shifts other than rostered shifts - noncontinuous  shiftwork - first 3 hours,Penalty rate,Penalty rate
Casual - Call back - continuous shiftworker,Base rate,Base rate
Casual - Alternating night and afternoon shifts - non-continuous vehicle manufacturing shiftworker,Allowances,Allowances
Casual - Overtime - Monday to Saturday - first 3 hours (no minimum break),Penalty rate,Penalty rate
First Aid Allowance x2.0,Allowances,Allowances
Permanent - Overtime - Sunday (harvest period - after 8 hours overtime in a week or after 5 hours,Penalty rate,Penalty rate
04 RA2010 CAS - L5 - Sun[SUN][ALLDAY][][],Penalty rate,Sunday
04 RA2010 CAS - L1 - 16 yrs - Sun[SUN][ALLDAY][][],Penalty rate,Sunday
RIA - PT - post-2017 - PH OT,Penalty rate,Penalty rate
RIA - T - post-2017 - M-F Weekly OT - First 2 hours,Penalty rate,Penalty rate
RIA - PT - pre-2017 - M-F - 12am-7am,Penalty rate,Penalty rate
RIA - FT - post-2017 - Sat,Penalty rate,Saturday
RIA - FT - post-2017 - M-F - Ordinary,Base rate,Base rate
"RIA - CAS - Intro, Lvl 1, Lvl 2 - Post-2018 - M-F Daily OT - After 2 hours",Penalty rate,Penalty rate
"RIA - CAS - Intro, Lvl 1, Lvl 2 - Post-2018 - Sat",Penalty rate,Saturday
RIA - CAS - Lvl 3 and above - Post-2018 - PH,Base rate,Base rate
RIA - PT - Post-2018 - PH Weekly OT,Penalty rate,Penalty rate
RIA - PT - Post-2018 - Sun Weekly OT,Penalty rate,Sunday
RIA - PT - Post-2018 - Christmas - Sun,Penalty rate,Sunday
RIA - PT - 1-July-2019 - M-F 10pm-12am,Penalty rate,Penalty rate
RIA - PT - 1-July-2019 - RDO OT,Penalty rate,Penalty rate
RIA - CAS - Lvl 3+ - 1-July-2019 - M-F 10pm-12am,Penalty rate,Penalty rate
RIA - FT - 1-February-2021 - Split Shift Allowance,Allowances,Allowances
RIA - PT - 1-February-2021 - M-F 10pm-12am,Penalty rate,Penalty rate
RIA - CAS - Lvl 3+ - 1-February-2021 - M-F Daily OT - After 2 Hours,Penalty rate,Penalty rate
RIA - PT - 1-February-2021 - M-F Delayed Meal Break,Penalty rate,Penalty rate
RIA - CAS - Intro & Lvl 1-2 - 1-November-2021 - PH,Base rate,Base rate
RIA - CAS - Intro & Lvl 1-2 - 1-November-2021 - Sat Weekly OT - After 2 Hours,Penalty rate,Saturday
RIA - CAS - Intro & Lvl 1-2 - 1-November-2021 - Sun,Penalty rate,Sunday
RIA - CAS - Lvl 3+ - 1-November-2021 - PH,Base rate,Base rate
RIA - CAS - Lvl 3+ - 1-November-2021 - M-F Ordinary,Base rate,Base rate
RIA - CAS - Lvl 3+ - 1-October-2022 - M-F Ordinary,Base rate,Base rate
RIA - CAS - Lvl 3+ - 1-October-2022 - Sun Weekly OT,Penalty rate,Sunday
RIA - CAS - Lvl 3+ - 1-October-2022 - Sat Daily OT - First 2 Hours,Penalty rate,Saturday
Casual late work after 11.30pm - other duties allowance,Allowances,Allowances
Casual No Meal Break (Sunday),Penalty rate,Sunday
Time Off in Lieu Leave Taken,Base rate,Base rate
Permanent - Night shift - permanent shiftwork,Penalty rate,Evening/Night
Understudy Allowance - Star Role,Allowances,Allowances
Laundry Allowance blouses & shirts (FT) above ATO threshold,Allowances,Allowances
Laundry Allowance other garments  (FT) up to ATO threshold,Allowances,Allowances
Audio Recorded Allowance per Performance - other,Allowances,Allowances
Audio Recorded Allowance per Performance - principal,Allowances,Allowances
AV or Visual Recorded Allowance per Performance - overdubbing,Allowances,Allowances
First Additional Instrument Allowance per Call - supplied by employer,Leave,Leave
Permanent Travelling Time,Allowances,Travel
Simulcast Allowance per Performance - other,Allowances,Allowances
Upkeep Allowance - harpist,Allowances,Allowances
Permanent Sunday 7am-12am (striptease artist),Penalty rate,Penalty rate
Casual - Sunday Travel (Production & Support Staff),Penalty rate,Sunday
Own Vehicle Allowance - up to ATO limit,Allowances,Allowances
Own Vehicle Allowance - above ATO limit,Allowances,Allowances
Technical Computing Allowance,Allowances,Allowances
Permanent - Sunday - less than half a day worked,Penalty rate,Sunday
Vehicle Allowance - up to and including 20hp,Allowances,Allowances
Permanent - Public Holiday (RS&R),Penalty rate,Public Holiday
Sunday - first 8 hours,Penalty rate,Sunday
Ordinary Hours - Casual (+Annual Leave),Leave,Leave
Casual - Using own vehicle - travelling time allowance,Allowances,Allowances
Admin Office - Full Time Paid Hourly  ,Base rate,Base rate
Rental Managers - Ops Overhead,Base rate,Base rate
Teacher_33,Base rate,Base rate
Motor Car Allowance - Above ATO Limit,Allowances,Allowances
Vehicle Allowance - Above ATO approved rate,Allowances,Allowances
Permanent - Overtime - Public Holiday (no minimum break),Penalty rate,Penalty rate
Casual - Sunday (agreement to work ordinary hours),Penalty rate,Sunday
Paid Parental Leave Scheme,Leave,Leave
Garbage collecting vehicle allowance,Allowances,Allowances
Housing allowance,Allowances,Allowances
Money handling allowance - over $1000 but not exceeding $1200,Allowances,Allowances
Offensive material allowance,Allowances,Allowances
Vehicle allowance - vehicle width or load more than 3.5 metres,Allowances,Allowances
Permanent - Overtime - call back - after 2 hours,Penalty rate,Penalty rate
Casual - Christmas Day - Sunday,Penalty rate,Sunday
Permanent - Delay due to breakdown or Impassable Hwy,Base rate,Base rate
Travel Time CW2 F/Time,Allowances,Travel
TMA Driver F/Time PH 2.5,Penalty rate,Public Holiday
Laundry Allowance - Catering Employees (PT & CAS) - up to ATO threshold,Allowances,Allowances
Supervisory Allowance - more than 20 employees (Airport Catering),Allowances,Allowances
Awd. Crane Crew - Casual WE 1.5,Base rate,Base rate
Awd. CW2 Casual WE 2.0,Base rate,Base rate
Transport after overtime or irregular shift - reasonable means of transport are not available,Penalty rate,Penalty rate
Night shift - Monday to Friday - not newspaper offices,Penalty rate,Penalty rate
"Overtime - work on RDO - first 3 hours - afternoon, night or morning shift - not newspaper offices",Penalty rate,Penalty rate
Permanent - Change of residence for a transfer - travelling time (Sunday and public holidays) allowance - sleeping berth not provided - in process of buying a place of residence,Allowances,Allowances
Casual - working through a meal break,Base rate,Base rate
Casual - Night shift - non-continuous vehicle manufacturing shiftworker,Allowances,Allowances
Casual - Alternating day and afternoon shifts - non-continuous vehicle manufacturing shiftworker - afternoon shift +Annual Leave,Leave,Leave
Casual Public Holiday +Annual Leave,Leave,Leave
On call allowance - Monday to Saturday,Allowances,Allowances
Permanent - Overtime - Monday to Saturday - first 2 hours,Penalty rate,Penalty rate
Motor vehicle allowance - Up To ATO Limit,Allowances,Allowances
Long Service Leave,Leave,Leave
Personal / Carer's Leave,Leave,Leave
Explosive powered tools allowance,Allowances,Allowances
On call allowance - Sunday & public holiday,Allowances,Allowances
Permanent - Overtime - public holiday - Good Friday or Christmas Day,Penalty rate,Penalty rate
Permanent - Public holiday worked,Penalty rate,Public Holiday
Casual - Saturday (agreement to work ordinary hours),Penalty rate,Saturday
Barrier Rate Night - Onsite,Penalty rate,Evening/Night
No Meal Break*,Base rate,Base rate
Casual - No meal break,Base rate,Base rate
Casual Fitness Instructor  - No Minimum Break - x 2,Base rate,Base rate
Heavy vehicle driver allowance - Between 4.5 to 14.95 tonnes GVW,Allowances,Allowances
Heavy vehicle driver allowance - Over 14.95 tonnes GVW,Allowances,Allowances
Permanent - Afternoon or night shift - less than 5 successive shifts (6 in six day enterprise) - first 3 hours,Penalty rate,Evening/Night
Permanent - Sunday - continuous shiftworker,Penalty rate,Sunday
Casual - Work on an unrostered shift - non-continuous shiftworker - first 3 hours,Base rate,Base rate
Permanent - Public Holiday not worked,Leave,Leave
Casual - Mon-Sat Callback,Penalty rate,Saturday
Dangerous goods allowance - bulk goods,Allowances,Allowances
Livestock carter allowance (Long Distance),Allowances,Allowances
Casual - Long distance driving,Base rate,Base rate
Casual - Overtime - shiftworkers - first 2 hours,Penalty rate,Penalty rate
Awd. CW1 Casual SW 1.5,Base rate,Base rate
Broken Shift Allowance (over 3hr gap),Allowances,Allowances
Awd. CW2 Casual OT 2.0,Penalty rate,Penalty rate
Awd. CW3 Trade Casual SW 1.5,Base rate,Base rate
Furniture carter allowance (Long Distance),Allowances,Allowances
Paid Parental Leave (PPL),Leave,Leave
Area Daily - Sunday $36.25,Penalty rate,Sunday
Weekday $70.00,Base rate,Base rate
Area Daily - Saturday $50.00 ABP758,Penalty rate,Saturday
Area Daily - Sunday $70.00,Penalty rate,Sunday
Permanent - Sunday (Sales),Penalty rate,Sunday
Permanent - Sunday - after 8 hours,Penalty rate,Sunday
Permanent - Ordinary (double time),Penalty rate,Penalty rate
Afternoon/Night Shift (Security) 1.5x,Penalty rate,Penalty rate
Leading Hand Allowance (21+ employees),Allowances,Allowances
Casual - cancelled shift allowance,Allowances,Allowances
Meal allowance – after 1.5 hours overtime,Penalty rate,Penalty rate
Casual - Overtime - Saturday - work in excess of weekly hours,Penalty rate,Penalty rate
Ordinary Hours - Office,Base rate,Base rate
Permanent - No Minimum Break - Public Holiday Overtime,Penalty rate,Penalty rate
Casual - No Meal Break - Overtime Sunday,Penalty rate,Penalty rate
Casual - No Meal Break - PH,Base rate,Base rate
Permanent Shiftworker - Overtime - Monday to Saturday - after 3 hours (no minimum break),Penalty rate,Penalty rate
Permanent - Saturday - 7 day practice - 7am to 9pm*,Penalty rate,Saturday
Permanent - Call back - after 3 hours - not continuous shiftworkers,Penalty rate,Penalty rate
Casual - Overtime - Monday to Friday - after 3 hours - other than continuous shiftworkers,Penalty rate,Penalty rate
Permanent - Normal Time,Base rate,Base rate
Weekday Early Morning,Penalty rate,Penalty rate
Casual Fitness Instructor - No Minimum Break w No Meal Break Overtime,Penalty rate,Penalty rate
Supervisor,Base rate,Base rate
Covid Allowance EN,Allowances,Allowances
Redundancy - YP,Others,Severance
Day Rate - KP (Level 4),Base rate,Base rate
Loyalty Bonus - EVENTS,Bonuses,Bonus
Overtime Meal Allowance (BC),Penalty rate,Penalty rate
Prod Runner - Photograghy,Penalty rate,Penalty rate
Prod Runner - Travel,Allowances,Travel
Unit Manager - Pre,Base rate,Base rate
Steadicam - Photography,Penalty rate,Penalty rate
Best Boy/Grip Assist - Photography,Penalty rate,Penalty rate
Grip Assist - Photography,Penalty rate,Penalty rate
Overtime - Sunday,Penalty rate,Penalty rate
Birthday Leave Taken,Leave,Leave
Permanent - RDO/ADO taken on a Public Holiday,Leave,Leave
Allowance - Mobile,Allowances,Allowances
PU/DO using own vehicle,Allowances,Allowances
Permanent - Overtime after three hours (non-exhibition employees),Penalty rate,Penalty rate
Permanent - Work at a different location - travel time Sundays and public holidays,Penalty rate,Sunday
Casual - Saturday - 7 day practice - 7am to 9pm*,Penalty rate,Saturday
Best Boy - Travel,Allowances,Travel
Casual - Full Day,Base rate,Base rate
Casual - Half Day,Base rate,Base rate
Leadership allowance - level 1C,Allowances,Allowances
Leadership allowance - level 3A,Allowances,Allowances
Broken Shift Allowance (1 unpaid break),Allowances,Allowances
Permanent - less than 10 hours break between shifts overtime,Penalty rate,Penalty rate
Tech Training Taken,Leave,Leave
Uniform Allowance (PT/Cas) Up to ATO Limit,Allowances,Allowances
Public Holidays (Early Links EA),Penalty rate,Penalty rate
Overtime - After three hours (Early Links EA),Penalty rate,Penalty rate
Government Parental Payment,Leave,Leave
Salary_Hourly,Base rate,Base rate
Broken Shift Allowance,Allowances,Allowances
Leading Hand Allowance (11-20 employees) (per hour),Allowances,Allowances
First Aid Allowance (per hour),Allowances,Allowances
Casual - Sunday Hours,Penalty rate,Sunday
PT - Public Holiday not Worked,Leave,Leave
Cast Support - Duncan - Travel,Allowances,Travel
Cast Support - Tourist Mum 2 - Travel,Allowances,Travel
Cast & Casting - Casting Services - Extras Casting - Travel,Penalty rate,Penalty rate
Permanent - Afternoon or night shift - less than 5 successive shifts (or 6 shifts in a 6 day workshop) - after 3 hours,Penalty rate,Evening/Night
Saturday rate - Shane,Penalty rate,Saturday
Bonus - Regular,Bonuses,Bonus
Overtime - On Site,Penalty rate,Penalty rate
Granted Leave Taken,Leave,Leave
Permanent - Public Holiday Worked,Penalty rate,Public Holiday
Supervisor Level 4.1,Base rate,Base rate
Supervisor Level 5.2,Base rate,Base rate
Educator Level 3.2 (Casual),Base rate,Base rate
Supervisor (Casual),Base rate,Base rate
Assistant Supervisor,Base rate,Base rate
Acting Assistant Manager,Base rate,Base rate
Certified Supervisor ,Base rate,Base rate
Certified Supervisor (Maddie),Base rate,Base rate
