pay_category_name,category,sub_category
(RR) Kitchen Wages,Base rate,Base rate
Overtime x2,Penalty rate,Penalty rate
Allowance - Educational Leader (Centre Size between 41 to 60),Allowances,Allowances
Back Pay/Adjustment,Others,Backpay
On Call Weekday,Base rate,Base rate
On Call Sunday,Penalty rate,Sunday
01 RA2010 L1 16y Sun [SUN][ALLDAY][][General],Penalty rate,Sunday
Motor Vehicle Before Tax,Allowances,Allowances
Motor Vehicle After tax,Allowances,Allowances
Permanent - Public Holiday Not Worked,Leave,Leave
(RR) Bathroom Wages,Base rate,Base rate
Salaries UA Video,Base rate,Base rate
OT 1.4,Penalty rate,Penalty rate
Ordinary Hours - Tax,Base rate,Base rate
Ordinary Hours - Admin,Base rate,Base rate
Ordinary Hours - PCBS,Base rate,Base rate
Ordinary Hours - Audit,Base rate,Base rate
Sales Bonus,Bonuses,Bonus
Cleaning Allowance - St Andrews,Allowances,Allowances
Permanent Sunday,Penalty rate,Sunday
PT K2/GRILL/TORTS & TILL,Base rate,Base rate
Higher Duties Allowance,Allowances,Allowances
Wages - Sales,Base rate,Base rate
Casual - Monday-Friday,Base rate,Base rate
Bonus Incentive,Bonuses,Bonus
Permanent Overtime x 2.0,Penalty rate,Penalty rate
Travel Allowance - PT,Allowances,Allowances
public holidays,Penalty rate,Public Holiday
Ordinary  Hours,Base rate,Base rate
OT Hours,Penalty rate,Penalty rate
Site Allowance - company vehicle,Allowances,Allowances
ADMIN  hours,Base rate,Base rate
Wage Sunday,Penalty rate,Sunday
Permanent - Public Holiday not Worked,Leave,Leave
Casual - Full Day,Base rate,Base rate
Base Hourly (Casual),Base rate,Base rate
Allowance - Acting Co-ordinator (Centre Size Less than 40),Allowances,Allowances
Sunday.,Penalty rate,Sunday
Fixed Car Allowance,Allowances,Allowances
Emergency Line,Penalty rate,Penalty rate
OT FFS Clinical Support/Training,Penalty rate,Penalty rate
Overtime  - Double Time,Penalty rate,Penalty rate
Fuilfilment - Product (casual),Base rate,Base rate
Motor Vehicle Fuel,Allowances,Allowances
Allowance - Vehicle (Head Office),Allowances,Allowances
Meal,Base rate,Base rate
Annual Leave.,Leave,Leave
Meals and Refreshments,Base rate,Base rate
Car Allowance Photography,Allowances,Allowances
24WE Shift - PPT LF PP5,Base rate,Base rate
Permanent Public Holiday,Penalty rate,Public Holiday
Car Allowance - Untaxed,Allowances,Allowances
Phone Allowance - Untaxed,Allowances,Allowances
Overtime Anthony,Penalty rate,Penalty rate
Telephone Allowance,Allowances,Allowances
 Bonus - Customer Care,Bonuses,Bonus
Permanent - Public Holiday not worked,Leave,Leave
Sous Chef $75k pa,Base rate,Base rate
Full Time,Base rate,Base rate
Casual - Saturday - not shiftwork,Penalty rate,Saturday
Permanent - 24 Hour Care,Base rate,Base rate
Commission & Bonus,Bonuses,Bonus
Level 2 - 17yrs (Incl Casual Loading),Base rate,Base rate
Ordinary Hours - Therapists,Base rate,Base rate
Kindergarten Assistant - Ararat North,Base rate,Base rate
Base Hours - SEF PP2,Base rate,Base rate
Base Hours - Project Facilitator,Base rate,Base rate
003 BRI Admin - Weekend hours,Penalty rate,Weekend
Casual (Loaded) - Ordinary Hours,Base rate,Base rate
Travel,Allowances,Travel
Casual Saturday - Level 3,Penalty rate,Saturday
Apprentice Tool Allowance,Allowances,Allowances
Revenue Bonus - Physio,Bonuses,Bonus
Leave Loading 17.5%,Leave,Leave
Salary Wages - Direct,Base rate,Base rate
Weekday 12am-7am,Penalty rate,Penalty rate
Salary Wages - Indirect,Base rate,Base rate
RIA - CAS - Lvl 1 - 18 - M-Sat,Base rate,Base rate
RIA - CAS - District Allowance 043,Allowances,Allowances
RIA - CAS - Lvl 1 - 19 - M-Sat,Base rate,Base rate
SECA - FT - OT1 - F/N,Penalty rate,Penalty rate
RIA - CAS - Lvl 1 - 20 aft 6mths - M-Sat,Base rate,Base rate
Work from Home Allowance,Allowances,Allowances
Fixed Payment,Base rate,Base rate
Permanent - Overtime - Monday to Saturday - first 2 hours,Penalty rate,Penalty rate
Permanent - Saturday - not shiftwork,Penalty rate,Saturday
EOFY Bonus,Bonuses,Bonus
FT Styling & Design - Corporate - Ordinary Hours,Base rate,Base rate
Salary Sacrifice (M/V),Base rate,Base rate
Base Hours - CAS LF PP2,Base rate,Base rate
Admin Phone Allowance,Allowances,Allowances
Commission Earnings - Salon,Bonuses,Commission
Permanent - Night Shift + 50%,Penalty rate,Evening/Night
Base Annually,Base rate,Base rate
RIA - CAS - Laundry Allowance 06,Allowances,Allowances
SECA - FT & CAS - PH,Base rate,Base rate
Level 1 - 16yrs and under (Incl Casual Loading),Base rate,Base rate
Ordinary + Loaded Shift Hours,Base rate,Base rate
Overtime Casual (2X),Penalty rate,Penalty rate
RRL Home Renovations Wages,Base rate,Base rate
Night Shift Hours,Penalty rate,Evening/Night
ORD Hours Digital Marketing,Base rate,Base rate
2 Overtime First 2 Hours [WEEKDAY][8~10][][],Penalty rate,Penalty rate
Electrician's Licence Allowance,Allowances,Allowances
Telephone allowance,Allowances,Allowances
P4 Bonus S,Bonuses,Bonus
"3 Travel and Fare Allowance Apprentice [MON,TUE,WED,THU,FRI][ALLDAY][0-1][]",Allowances,Allowances
2 Overtime Sat Double Time [SAT][2.0~24.0][][],Penalty rate,Penalty rate
1 Overtime Sat Time and a Half [SAT][0.0~2.0][][],Penalty rate,Penalty rate
00 RA2010 admin M-F [WEEKDAY][ALLDAY][][Office],Base rate,Base rate
01 PT Sup RA2010 20 Sun [SUN][ALLDAY][][Leader],Penalty rate,Sunday
 Coaching - Ordinary Hours (decimal time),Base rate,Base rate
Level 2 - 20yrs +,Base rate,Base rate
P4 Bonus ,Bonuses,Bonus
FT Production - Workshop - Ordinary Hours,Base rate,Base rate
Government Paid Parental Scheme,Leave,Leave
005 ESS MST- Conversion Bonus,Bonuses,Bonus
Travel Allowance (1601 - 2600CC),Allowances,Allowances
Ordinary Hours - Production Wages,Base rate,Base rate
RDO - Rostered Day Off,Base rate,Base rate
Base Hourly - Office,Base rate,Base rate
Travel Allowance per day,Allowances,Allowances
Overtime X 1.5,Penalty rate,Penalty rate
Shift Supervisor Adult,Base rate,Base rate
03 Public Holiday (PH) [PH][ALLDAY][][],Penalty rate,Public Holiday
Casual - Sunday - not shiftwork,Penalty rate,Sunday
Casual - Warehouse Overtime Hours,Penalty rate,Penalty rate
00 HIGA CAS - L2 - Cook Gd1 - M-F[WEEKDAY][ALLDAY][][],Base rate,Base rate
FT - Saturday,Penalty rate,Saturday
01 RA2010 Sup 18y Sat [SAT][ALLDAY][][Leader],Penalty rate,Saturday
P2 Bonus ,Bonuses,Bonus
A2 Bonus ,Bonuses,Bonus
Annual Leave - Field,Leave,Leave
Ordinary Hours - Productive,Base rate,Base rate
Casual - Saturday Hybrid,Penalty rate,Saturday
Casual Sunday- Manager LVL 5,Penalty rate,Sunday
Overtime - first 2 hours (1.5x),Penalty rate,Penalty rate
"01 RA2010 CAS - Introductory - Adult RA2010 - Mid-7am[WEEKDAY,!PH][0000-0700][][]",Base rate,Base rate
Ordinary Hours - Associates Management,Base rate,Base rate
Kindergarten Assistant - Lake Bolac,Base rate,Base rate
Overtime Ordinary Hours (exempt from super),Penalty rate,Penalty rate
Vehicle,Allowances,Allowances
ACA SAT ,Penalty rate,Saturday
CPS Other Wages,Penalty rate,Penalty rate
Emergency Svcs (First 3 hrs) - Enter the # of call,Penalty rate,Penalty rate
Union Representative Allowance,Allowances,Allowances
Training COGS Wages,Base rate,Base rate
01 RA2010 L1 20y Sun [SUN][ALLDAY][][General],Penalty rate,Sunday
Ordinary Hours - Support Staff,Base rate,Base rate
Overtime - Time and a half,Penalty rate,Penalty rate
DWP-FOH 150% Sat [SAT][ALLDAY][][],Penalty rate,Saturday
Bonus B/tax,Bonuses,Bonus
Tenure Bonus,Bonuses,Bonus
Kms Travel Allow,Allowances,Travel
Casual - Ordinary Hours Hybrid,Base rate,Base rate
Special Rate,Bonuses,Bonus
Rostered Day off Taken,Base rate,Base rate
Vet On Call - Sunday/Public Holiday,Penalty rate,Sunday
RTW Bonus,Bonuses,Bonus
Casual (Loaded) - Sunday Overtime,Penalty rate,Penalty rate
Internet Allowance,Allowances,Allowances
Casual - Logistics OT + 3 Hours,Penalty rate,Penalty rate
ACA OT 1.5x,Penalty rate,Penalty rate
Melbourne City Football Club,Penalty rate,Penalty rate
Centrelink Paid Parental - PCBS,Leave,Leave
Referrer commisson,Bonuses,Bonus
Child Late Collection Payment,Penalty rate,Evening/Night
Casual (Flat) - Overtime,Penalty rate,Penalty rate
Driving Rate (Full Time),Base rate,Base rate
Driving Rate (Full Time) Overtime,Penalty rate,Penalty rate
Broadband Allowances exempt from tax withholding and super,Allowances,Allowances
Staff Finders Fee,Bonuses,Bonus
Tax Free Redundancy,Others,Severance
Joseph Wages,Base rate,Base rate
Retainer,Base rate,Base rate
FT Production - Printshop - Overtime + 3 Hours,Penalty rate,Penalty rate
Overtime Penalty,Penalty rate,Penalty rate
Toilet Cleaning Allowance,Allowances,Allowances
Casual Ordinary Hours.,Base rate,Base rate
Weekend Stay,Penalty rate,Weekend
Per Km Allowance - Up To 5000Km,Allowances,Allowances
Maintenance Office Hours,Base rate,Base rate
Allowance - Educational Leader (Centre Size Less than 40),Allowances,Allowances
Overtime @ 1.5,Penalty rate,Penalty rate
Time Sheet Bonus ,Bonuses,Bonus
Charity Fundraiser - Ordinary Hours,Base rate,Base rate
Ordinary Hours 2016,Base rate,Base rate
Overtime Hours,Penalty rate,Penalty rate
Manager Uniform Allowance,Allowances,Allowances
Base Hourly - Weekend,Penalty rate,Weekend
Physiotherapy Bonus Sessions,Penalty rate,Penalty rate
CPS Strata Wages,Base rate,Base rate
Overtime 38 - 40 hours (exempt from super),Penalty rate,Penalty rate
Overtime Hours B (exempt from Super),Penalty rate,Penalty rate
01 RA2010 Sup 18y Sun [SUN][ALLDAY][][Leader],Penalty rate,Sunday
02 PT Sup RA2010 20 PH [PH][ALLDAY][][Leader],Penalty rate,Public Holiday
Directors Dividends - Lump Sum,Base rate,Base rate
Glenelg Administration,Base rate,Base rate
Kindergarten Teacher - Carey St,Base rate,Base rate
C/S Coordinator (Accrue Leave),Leave,Leave
Management Incentive,Bonuses,Commission
"CRC-BOH 125% Mon-Fri [WEEKDAY,!PH][ALLDAY][][]",Base rate,Base rate
CRC-FOH 175% Sunday [SUN][ALLDAY][][],Penalty rate,Sunday
BEI Bonus,Bonuses,Bonus
Excluded (Type R) Employment Termination Payment,Others,Severance
Overtime 1.5x - Direct,Penalty rate,Penalty rate
Discretionary Bonus,Bonuses,Bonus
Travel Accom Provided,Allowances,Travel
Public Training  - Venue Hire,Penalty rate,Public Holiday
0319 Level 3 - 19yrs,Base rate,Base rate
0217C Public Holiday,Penalty rate,Public Holiday
0117C Level 1 - 17yrs (incl casual loading),Base rate,Base rate
0320 Level 3 - 20yrs+,Base rate,Base rate
0220 Level 2 - 20yrs+,Base rate,Base rate
0116C Level 1 - 16yrs and under (Casual Loading),Base rate,Base rate
Casual Sunday - Level 3,Penalty rate,Sunday
Personal Leave (Sick/Carer's),Leave,Leave
Admin Ordinary Hours,Base rate,Base rate
Performance Bonus ,Bonuses,Bonus
"2 Overtime Weekday Double Time [MON,TUE,WED,THU,FRI][10.0~24.0][][]",Penalty rate,Penalty rate
Steve Rees Overtime [WEEKDAY][7.6~9.6][][],Penalty rate,Penalty rate
P5 Bonus,Bonuses,Bonus
P5 Bonus S,Bonuses,Bonus
2.0 x Overtime Hours ( exempt from super),Penalty rate,Penalty rate
MV Allowance,Allowances,Allowances
Overtime - 1 1/2,Penalty rate,Penalty rate
Money Handling-over $2000pw,Penalty rate,Penalty rate
Sunday - Ordinary hours - Officer 2,Penalty rate,Sunday
(sat) F&B casual L2,Base rate,Base rate
(Sat 19 yrs casual) L1 ,Penalty rate,Saturday
(m-f) F&B Casual L2,Base rate,Base rate
L2 F&B - Sunday Hours,Penalty rate,Sunday
Kitchen Attendant - Weekdays after 7pm,Base rate,Base rate
 Cooking Apprentice Yr1 - Hourly Rate Saturday,Penalty rate,Saturday
L2 F&B - Weekday Hours,Base rate,Base rate
Kitchen Attendant - Sunday,Penalty rate,Sunday
Notice pay,Penalty rate,Penalty rate
Back Pay/Pay adjustments,Others,Backpay
03 RA2010 CAS - Introductory - Adult RA2010 - Sat[SAT][ALLDAY][][],Penalty rate,Saturday
05 RA2010 FT/PT - Introductory - Adult RA2010 - PH[PH][ALLDAY][][],Base rate,Base rate
Overtime (x 1.5) Monday to Friday,Penalty rate,Penalty rate
Ordinary Daily Rate,Base rate,Base rate
Directors Sitting Fees,Base rate,Base rate
Fixed ,Base rate,Base rate
Overtime - On Call Allowance (exempt from super),Penalty rate,Penalty rate
Commissions Mgmt -Monthly,Bonuses,Commission
Overtime + 25%,Penalty rate,Penalty rate
Level 3 - 20yrs+ (Incl Casual Loading),Base rate,Base rate
CVTC Level 1,Base rate,Base rate
Level 2 - 20yrs+,Base rate,Base rate
Bonus - Tax Division,Bonuses,Bonus
Bonus - AA Division,Bonuses,Bonus
Bonus - BA Division,Bonuses,Bonus
Ordinary Earnings - Admin & Marketing,Base rate,Base rate
Casual - Overtime + 50%,Penalty rate,Penalty rate
Unpaid Sick,Leave,Leave
Staff Training,Base rate,Base rate
Kindergarten Teacher - Lake Bolac,Base rate,Base rate
Paid Parental Leave - Glenelg,Leave,Leave
Glenelg Maintenance Casual,Base rate,Base rate
Night Work Loading,Penalty rate,Evening/Night
Annual Leave Cashout,Leave,Leave
Ordinary Hours - Direct,Base rate,Base rate
Bonus - no tax withheld,Bonuses,Bonus
Base Hourly Blue Team,Base rate,Base rate
Blue Team Overtime Support,Penalty rate,Penalty rate
Red Team Overtime - Support,Penalty rate,Penalty rate
Car Allowance - Operational,Allowances,Allowances
Overtime x 2.0,Penalty rate,Penalty rate
Casual Retail Ordinary Hours,Base rate,Base rate
Admin PROD,Base rate,Base rate
Maternity Paymt Govt,Leave,Leave
Indirect Salary,Base rate,Base rate
Directors Fees,Base rate,Base rate
Fixed Bonus ,Bonuses,Bonus
Employee Entertainment - FBT,Allowances,Allowances
Overtime Hours - Double time,Penalty rate,Penalty rate
KCH CAS ADU 01 [WEEKDAY][0700-1900][][Kitchen],Base rate,Base rate
Sales Salary,Base rate,Base rate
Engineers Car Allowance,Allowances,Allowances
Public Holiday.,Penalty rate,Public Holiday
Ordinary Hours - Property Management,Base rate,Base rate
Book Allowance,Allowances,Allowances
MV/Communications Allowance - exempt from PAYG,Allowances,Allowances
"02 RA2010 FT/PT - Introductory - Adult RA2010 - 10pm-Mid[WEEKDAY,!PH][2200-0000][][]",Penalty rate,Penalty rate
Holiday Pay - Salary,Penalty rate,Public Holiday
Full Time - Standard,Base rate,Base rate
Sick/Carer's Leave,Leave,Leave
Compassionate Leave,Leave,Leave
Part Time - Evening,Penalty rate,Evening/Night
Paid Parental Leave (Govt),Leave,Leave
Base Hourly,Base rate,Base rate
Saturday,Penalty rate,Saturday
Overtime,Penalty rate,Penalty rate
Normal (Hourly),Base rate,Base rate
Normal (MoS),Base rate,Base rate
Normal (Annual),Base rate,Base rate
Leisure Rules Day,Leave,Leave
Ordinary Hours Direct,Base rate,Base rate
Overtime Cleaning (2x),Penalty rate,Penalty rate
Back Payment,Others,Backpay
Back Pay,Others,Backpay
Time in Lieu,Base rate,Base rate
Overtime (1.5x),Penalty rate,Penalty rate
4 FTPT [SAT][ALLDAY][][],Base rate,Base rate
6 FTPT PUB HOL [PH][ALLDAY][][],Penalty rate,Public Holiday
Over time 2x,Penalty rate,Penalty rate
Salary,Base rate,Base rate
Wages Business Management,Base rate,Base rate
MA000038 Cat 2 (+10%) Overtime (first 2 hours),Penalty rate,Penalty rate
Overtime (2x),Penalty rate,Penalty rate
"2 FTPT [WEEKDAY,!PH][0000-0700][][]",Base rate,Base rate
Allowances exempt from tax withholding and super,Allowances,Allowances
Standard Award Allowance,Allowances,Allowances
Bonus + Super,Bonuses,Bonus
Mobile Phone,Allowances,Allowances
Time In Lieu,Base rate,Base rate
Hourly Pay Category,Base rate,Base rate
Weekend Hours (1.5),Penalty rate,Weekend
Weekend Hours,Penalty rate,Weekend
Indirect Permanent Ordinary Hours,Base rate,Base rate
Paid Parental Leave (Govt Scheme),Leave,Leave
Permanent ,Base rate,Base rate
Incentive,Bonuses,Commission
Director,Base rate,Base rate
40 fulltime ,Base rate,Base rate
4 CASUAL [SAT][ALLDAY][][],Base rate,Base rate
Permanent Hours,Base rate,Base rate
Time In Lieu - Accrued Time,Base rate,Base rate
Meal Allowance,Allowances,Allowances
"Hourly Rate $21.20 - subject to tax,, no super",Base rate,Base rate
"Hourly rate $25.50 - subject to tax, no super",Base rate,Base rate
Base Salary,Base rate,Base rate
Vet Sat Morning,Penalty rate,Saturday
Overtime Hours x 1.5 ,Penalty rate,Penalty rate
5 CASUAL [SUN][ALLDAY][][],Base rate,Base rate
MA000038 Overtime (After 2 Hours),Penalty rate,Penalty rate
Public Holiday Cleaning,Penalty rate,Public Holiday
Child Care Allowance,Allowances,Allowances
Full Time - Project Management,Base rate,Base rate
Casual - Public Holiday,Penalty rate,Public Holiday
"2 CASUAL [WEEKDAY,!PH][0000-0700][][]",Base rate,Base rate
Level 4,Base rate,Base rate
Personal Carers Leave,Leave,Leave
Part Time Ordinary,Base rate,Base rate
MA000038 Cat 4 Ordinary Time,Base rate,Base rate
5 NEW CASUAL [SUN][ALLDAY][][],Base rate,Base rate
PT Pub Holiday x 1.5,Penalty rate,Penalty rate
PT Sunday,Penalty rate,Sunday
FT Saturday,Penalty rate,Saturday
OT 2.0,Penalty rate,Penalty rate
Casual - Weekday,Base rate,Base rate
Weekday Evening (10pm to 12am),Penalty rate,Penalty rate
Weekend Adult,Penalty rate,Weekend
PT Overtime 2.0,Penalty rate,Penalty rate
Don't Use - MA000038 Cat 4 (+10%) Overtime (first 2 hours),Penalty rate,Penalty rate
Ordinary OT,Penalty rate,Penalty rate
Admin - Base Hourly,Base rate,Base rate
Public Holiday Rate,Penalty rate,Public Holiday
Saturday Part-time,Penalty rate,Saturday
Saturday Part-time (Manager L1),Penalty rate,Saturday
10 pm to Midnight Mon-Fri (Manager L1),Penalty rate,Evening/Night
Sunday Part-time,Penalty rate,Sunday
Support - Commission,Bonuses,Commission
Special Allowance,Allowances,Allowances
Industry Allowance,Allowances,Allowances
Ordinary Hours - Strategy,Base rate,Base rate
Base Salary - Parking,Base rate,Base rate
Base Salary - Ordinary Hours,Base rate,Base rate
Allowance - Motor Vehilce ($3800),Allowances,Allowances
Allowance - Motor Vehilce ($3250),Allowances,Allowances
Overtime 2.0,Penalty rate,Penalty rate
Night Shift,Penalty rate,Evening/Night
Permanent Weekday,Base rate,Base rate
Ordinary Hours - CT,Base rate,Base rate
Hours Standard,Base rate,Base rate
Wage & Salary Back Payment,Others,Backpay
Permanent - Ordinary Hours,Base rate,Base rate
Saturday Rate 1,Penalty rate,Saturday
Normal,Base rate,Base rate
Permanent Part Time Accountant,Base rate,Base rate
Overtime Earnings Time and Half Site,Penalty rate,Penalty rate
Freezer Allowance,Allowances,Allowances
Reimbursement,Others,Reimbursement
Casual Sat Rate,Penalty rate,Saturday
Ordinary Hours (Manager L1),Base rate,Base rate
Casual Overtime (x1.5),Penalty rate,Penalty rate
Production Commission,Bonuses,Commission
Ordinary Hours Site  Incl Allowances,Allowances,Allowances
Allowances subject to tax withholding and super,Allowances,Allowances
Government Paid Parental Leave Scheme,Leave,Leave
Travel Allowance cents per km,Allowances,Allowances
Day Rate - Training Duty,Base rate,Base rate
Day Rate - Non Flying Duty,Base rate,Base rate
On Call Allowance,Allowances,Allowances
Site Allowance - Eastland,Allowances,Allowances
Vehicle Allowance,Allowances,Allowances
Casual - Overtime x 1.5,Penalty rate,Penalty rate
Annual Leave Paid on Termination,Leave,Leave
Clinical Notes,Penalty rate,Penalty rate
Wages & Salaries,Base rate,Base rate
Overtime Direct (2x),Penalty rate,Penalty rate
Ordinary Hours (don't use),Base rate,Base rate
Car Sales - Sales Bonus,Bonuses,Bonus
Termination Pay,Others,Severance
4 Casual Sun [SUN][ALLDAY][][],Penalty rate,Sunday
Clinical Notes (Casual),Penalty rate,Penalty rate
ABN Contractor Ordinary,Base rate,Base rate
Ordinary Hours - Phone Broker,Allowances,Allowances
Chris Pokun Car Allowance,Allowances,Allowances
DM Salary $50k pa,Base rate,Base rate
